,School Name,School Size,Town Name,Postal Code,Applied EQAO Grades,Academic EQAO Grades,,,0.45542153,0.804139715
78,St Patrick HS,"1,126",Thunder Bay,P7E 1T9,0.46,0.79,,,,
79,St Ignatius SS,"1,143",Thunder Bay,P7A 2J6,0.6,0.88,,,,
80,É.S.C. L'Alliance,47,Iroquois Falls,P0K 1E0,0.46,0.68,,,,
81,Centre d'éducation des adultes,,New Liskeard,P0J 1P0,,,,,,
82,É.S.C. Cité des Jeunes,219,Kapuskasing,P5N 2K2,0.41,0.83,,,,
83,ÉS Jean-Vanier,77,Kirkland Lake,P2N 1Y1,0.83,0.92,,,,
84,La Clef,41,Timmins,P4N 3W2,,,,,,
85,É.S.C. Hearst,272,Hearst,P0L 1N0,0.8,0.96,,,,
86,É.C. Nouveau Regard - Pavillon Jeunesse-Nord,98,Cochrane,P0L 1C0,0.62,0.83,,,,
87,É.S.C. Ste-Marie,273,New Liskeard,P0J 1P0,0.58,0.95,,,,
88,É.C. Georges-Vanier - secondaire,21,SmoothRock Falls,P0L 2B0,,,,,,
89,É.S.C. Thériault,638,Timmins,P4N 7K3,0.28,0.84,,,,
90,Centre d'éducation permanente (Adultes),41,Kapuskasing,P5N 1H5,,,,,,
91,ÉS C Algonquin,477,North Bay,P1B 4W8,0.4,0.9,,,,
92,É.S.C. Elisabeth-Bruyère,34,Mattawa,P0H 1V0,,0.62,,,,
93,École secondaire catholique Franco-Cité,309,Sturgeon Falls,P2B 2Z7,0.41,0.9,,,,
94,Carrefour Options +,16,Sudbury,P3B 1M4,,,,,,
95,ÉS catholique Champlain,194,Chelmsford,P0M 1L0,0.73,0.79,,,,
96,Collège Notre-Dame,572,Sudbury,P3C 2H1,0.31,0.7,,,,
97,École secondaire Saint-Joseph,37,Wawa,P0S 1K0,0.43,0.79,,,,
98,ÉS catholique Trillium,55,Chapleau,P0M 1K0,0.7,0.54,,,,
99,ÉS catholique Franco-Ouest,47,Espanola,P5E 1R7,0.62,0.97,,,,
100,ÉSC Jeunesse-Nord,69,Blind River,P0R 1B0,0.62,0.98,,,,
101,École secondaire du Sacré-Coeur,210,Sudbury,P3C 5K4,0.47,0.79,,,,
102,École secondaire Notre-Dame-du-Sault,46,SaultSte Marie,P6B 2B9,,0.8,,,,
103,ÉS C L'Horizon,409,Val Caron,P3N 1K7,0.33,0.85,,,,
104,ÉSC de La Vérendrye,122,Thunder Bay,P7A 8C7,0.26,0.79,,,,
